55(0.0, 0.21502056599432368, 0.18805);108,['1.8761984', '-0.48049083', '-1.65795', '0.5658749', '-0.0006918312', '0.30534568'];0
56(-0.009999999999999995, 0.21502056599432368, 0.18805);110,['1.9219701', '-0.4825931', '-1.6556104', '0.56659484', '0.0009769739', '0.3524217'];0
57(-0.020000000000000004, 0.21502056599432368, 0.18805);112,['1.9673355', '-0.4882122', '-1.6485641', '0.5673401', '0.00043382175', '0.39670053'];0
58(-0.03, 0.21502056599432368, 0.18805);114,['2.0117986', '-0.497295', '-1.6328107', '0.56', '-0.0006476338', '0.4408277'];0
59(-0.039999999999999994, 0.21502056599432368, 0.18805);116,['2.054548', '-0.51045156', '-1.6117737', '0.55272824', '0.00051416963', '0.48312962'];0
60(0.05, 0.20502056599432367, 0.18805);118,['1.6429917', '-0.44830215', '-1.7107153', '0.58812386', '-0.00082594', '0.07204003'];0
61(0.04, 0.20502056599432367, 0.18805);120,['1.6923879', '-0.43153363', '-1.7377217', '0.5980385', '0.001079676', '0.12136263'];0
62(0.030000000000000002, 0.20502056599432367, 0.18805);121,['1.7426066', '-0.41806233', '-1.75863', '0.60511947', '0.00024386156', '0.17240237'];0
63(0.020000000000000004, 0.20502056599432367, 0.18805);123,['1.7926626', '-0.40843472', '-1.774406', '0.61188596', '-9.019391e-05', '0.22109707'];0
64(0.010000000000000002, 0.20502056599432367, 0.18805);125,['1.8424392', '-0.40259528', '-1.7838914', '0.61593443', '-0.00049887184', '0.27196285'];0
65(0.0, 0.20502056599432367, 0.18805);127,['1.8912814', '-0.40064707', '-1.7849202', '0.613113', '0.0007321454', '0.32081112'];0
66(-0.009999999999999995, 0.20502056599432367, 0.18805);129,['1.9395127', '-0.40276077', '-1.7825809', '0.6135735', '0.001200204', '0.36836174'];0
67(-0.020000000000000004, 0.20502056599432367, 0.18805);131,['1.9869077', '-0.4086451', '-1.7753965', '0.6142053', '0.00097392313', '0.41587716'];0
68(-0.03, 0.20502056599432367, 0.18805);133,['2.0332193', '-0.41817978', '-1.7601018', '0.6081834', '0.0001329465', '0.4632706'];0
69(-0.039999999999999994, 0.20502056599432367, 0.18805);135,['2.0782833', '-0.4314214', '-1.7390481', '0.60013676', '-0.0012370027', '0.50762874'];0
70(0.05, 0.19502056599432366, 0.18805);137,['1.6468017', '-0.37088406', '-1.8308953', '0.6302281', '-0.0009574137', '0.07616249'];0
71(0.04, 0.19502056599432366, 0.18805);139,['1.6989295', '-0.35323036', '-1.8577005', '0.6390383', '0.0006254843', '0.12845519'];0
72(0.030000000000000002, 0.19502056599432366, 0.18805);141,['1.751766', '-0.33907896', '-1.8793308', '0.6470113', '0.0002148423', '0.18039759'];0
73(0.020000000000000004, 0.19502056599432366, 0.18805);143,['1.8045027', '-0.32885012', '-1.8943418', '0.651717', '2.5797544e-05', '0.23414612'];0
74(0.010000000000000002, 0.19502056599432366, 0.18805);145,['1.8568667', '-0.3226459', '-1.9033885', '0.6545129', '-0.00012348666', '0.2867478'];0
75(0.0, 0.19502056599432366, 0.18805);147,['1.9084713', '-0.32050094', '-1.9051077', '0.6527514', '0.00022780392', '0.33785665'];0
76(-0.009999999999999995, 0.19502056599432366, 0.18805);149,['1.9591128', '-0.3227696', '-1.9028133', '0.65348375', '0.00078135217', '0.38873643'];0
77(-0.020000000000000004, 0.19502056599432366, 0.18805);151,['2.008744', '-0.32907274', '-1.8953695', '0.65406686', '0.0006425189', '0.43842143'];0
78(-0.03, 0.19502056599432366, 0.18805);153,['2.0570197', '-0.33921528', '-1.8803089', '0.6491648', '0.00026412334', '0.48623842'];0
79(-0.039999999999999994, 0.19502056599432366, 0.18805);155,['2.103652', '-0.3533877', '-1.8594065', '0.6425649', '0.00013073892', '0.53317434'];0
80(0.05, 0.18502056599432365, 0.18805);157,['1.6507986', '-0.29325312', '-1.945324', '0.6671405', '-0.00014306353', '0.08082351'];0
81(0.04, 0.18502056599432365, 0.18805);159,['1.7061528', '-0.27421287', '-1.9724846', '0.6750872', '0.00041508902', '0.13507365'];0
82(0.030000000000000002, 0.18502056599432365, 0.18805);161,['1.7618213', '-0.25911316', '-1.9937375', '0.6814448', '0.0008019071', '0.19167374'];0
83(0.020000000000000004, 0.18502056599432365, 0.18805);163,['1.8175261', '-0.24811366', '-2.00912', '0.6862011', '0.00082948146', '0.24621512'];0
84(0.010000000000000002, 0.18502056599432365, 0.18805);165,['1.8729389', '-0.24134235', '-2.0180364', '0.688072', '0.00037809354', '0.30207595'];0
85(0.0, 0.18502056599432365, 0.18805);167,['1.9276323', '-0.23884167', '-2.0199082', '0.68602973', '-0.0002112785', '0.35676792'];0
86(-0.009999999999999995, 0.18502056599432365, 0.18805);169,['1.980967', '-0.24125622', '-2.017407', '0.6865059', '0.00023664592', '0.4105683'];0
