2024-07-24 14:43:31.422,43,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00039 -0.00002,0.00000 0.16499 0.00000,359.94980 0.00038 90.00013,0.00000 0.27498 -0.00012,359.94990 359.99420 -0.00003,0.00000 0.27498 -0.00012,0.07153 179.99430 90.00024,0.00000 0.40097 -0.00024,0.07152 179.99380 0.00003,0.00000 0.40099 -0.00024,0.07155 179.99380 90.00021,0.00000 0.45699 -0.00031,0.07154 179.99380 0.00002
2024-07-24 14:43:31.424,44,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00039 -0.00002,0.00000 0.16499 0.00000,359.94980 0.00038 90.00013,0.00000 0.27498 -0.00012,359.94990 359.99420 -0.00003,0.00000 0.27498 -0.00012,0.07153 179.99430 90.00024,0.00000 0.40097 -0.00024,0.07152 179.99380 0.00003,0.00000 0.40099 -0.00024,0.07155 179.99380 90.00021,0.00000 0.45699 -0.00031,0.07154 179.99380 0.00002
2024-07-24 14:43:31.426,45,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00039 -0.00002,0.00000 0.16499 0.00000,359.94980 0.00038 90.00013,0.00000 0.27498 -0.00012,359.94990 359.99420 -0.00003,0.00000 0.27498 -0.00012,0.07153 179.99430 90.00024,0.00000 0.40097 -0.00024,0.07152 179.99380 0.00003,0.00000 0.40099 -0.00024,0.07155 179.99380 90.00021,0.00000 0.45699 -0.00031,0.07154 179.99380 0.00002
2024-07-24 14:43:31.428,46,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00039 -0.00002,0.00000 0.16499 0.00000,359.94980 0.00038 90.00013,0.00000 0.27498 -0.00012,359.94990 359.99420 -0.00003,0.00000 0.27498 -0.00012,0.07153 179.99430 90.00024,0.00000 0.40097 -0.00024,0.07152 179.99380 0.00003,0.00000 0.40099 -0.00024,0.07155 179.99380 90.00021,0.00000 0.45699 -0.00031,0.07154 179.99380 0.00002
2024-07-24 14:43:31.430,47,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00039 -0.00002,0.00000 0.16499 0.00000,359.94980 0.00038 90.00013,0.00000 0.27498 -0.00012,359.94990 359.99420 -0.00003,0.00000 0.27498 -0.00012,0.07153 179.99430 90.00024,0.00000 0.40097 -0.00024,0.07152 179.99380 0.00003,0.00000 0.40099 -0.00024,0.07155 179.99380 90.00021,0.00000 0.45699 -0.00031,0.07154 179.99380 0.00002
2024-07-24 14:43:31.433,48,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00039 -0.00002,0.00000 0.16499 0.00000,359.94980 0.00038 90.00013,0.00000 0.27498 -0.00012,359.94990 359.99420 -0.00003,0.00000 0.27498 -0.00012,0.07153 179.99430 90.00024,0.00000 0.40097 -0.00024,0.07152 179.99380 0.00003,0.00000 0.40099 -0.00024,0.07155 179.99380 90.00021,0.00000 0.45699 -0.00031,0.07154 179.99380 0.00002
2024-07-24 14:43:31.435,49,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00039 -0.00002,0.00000 0.16499 0.00000,359.94980 0.00038 90.00013,0.00000 0.27498 -0.00012,359.94990 359.99420 -0.00003,0.00000 0.27498 -0.00012,0.07153 179.99430 90.00024,0.00000 0.40097 -0.00024,0.07152 179.99380 0.00003,0.00000 0.40099 -0.00024,0.07155 179.99380 90.00021,0.00000 0.45699 -0.00031,0.07154 179.99380 0.00002
2024-07-24 14:43:31.438,50,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00043 -0.00002,0.00000 0.16499 0.00000,359.94630 0.00042 90.00013,0.00000 0.27498 -0.00012,359.94630 359.99380 -0.00003,0.00000 0.27498 -0.00012,0.07662 179.99390 90.00025,0.00000 0.40097 -0.00024,0.07662 179.99340 0.00002,0.00000 0.40099 -0.00024,0.07664 179.99340 90.00023,0.00000 0.45699 -0.00037,0.07664 179.99340 0.00001
2024-07-24 14:43:31.441,51,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00043 -0.00002,0.00000 0.16499 0.00000,359.94630 0.00042 90.00013,0.00000 0.27498 -0.00012,359.94630 359.99380 -0.00003,0.00000 0.27498 -0.00012,0.07662 179.99390 90.00025,0.00000 0.40097 -0.00024,0.07662 179.99340 0.00002,0.00000 0.40099 -0.00024,0.07664 179.99340 90.00023,0.00000 0.45699 -0.00037,0.07664 179.99340 0.00001
2024-07-24 14:43:31.443,52,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00043 -0.00002,0.00000 0.16499 0.00000,359.94630 0.00042 90.00013,0.00000 0.27498 -0.00012,359.94630 359.99380 -0.00003,0.00000 0.27498 -0.00012,0.07662 179.99390 90.00025,0.00000 0.40097 -0.00024,0.07662 179.99340 0.00002,0.00000 0.40099 -0.00024,0.07664 179.99340 90.00023,0.00000 0.45699 -0.00037,0.07664 179.99340 0.00001
