2024-07-24 14:42:36.627,37,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,2.041116E-06 0.0003508509 -2.068066E-05,0 0.1649933 0,359.954 0.0003376109 90.00013,0 0.2749786 -6.103516E-05,359.9541 -0.005330643 -4.800013E-05,0 0.2749786 -6.103516E-05,0.06552996 179.9948 90.00024,0 0.4009705 -0.0002441406,0.06552354 179.9943 3.361769E-05,0 0.4009857 -0.0002441406,0.0655418 179.9943 90.00021,0 0.4569855 -0.0003051758,0.06553808 179.9943 1.995604E-05
2024-07-24 14:42:36.630,38,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.987764E-06 0.0003939965 -2.107419E-05,0 0.1649933 0,359.9498 0.0003804897 90.00013,0 0.2749786 -0.0001220703,359.9499 359.9942 -3.408454E-05,0 0.2749786 -0.0001220703,0.07153136 179.9943 90.00024,0 0.4009705 -0.0002441406,0.07152478 179.9938 3.04566E-05,0 0.4009857 -0.0002441406,0.07154544 179.9938 90.00021,0 0.4569855 -0.0003051758,0.07154199 179.9938 1.679498E-05
2024-07-24 14:42:36.633,39,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.987764E-06 0.0003939965 -2.107419E-05,0 0.1649933 0,359.9498 0.0003804897 90.00013,0 0.2749786 -0.0001220703,359.9499 359.9942 -3.408454E-05,0 0.2749786 -0.0001220703,0.07153136 179.9943 90.00024,0 0.4009705 -0.0002441406,0.07152478 179.9938 3.04566E-05,0 0.4009857 -0.0002441406,0.07154544 179.9938 90.00021,0 0.4569855 -0.0003051758,0.07154199 179.9938 1.679498E-05
2024-07-24 14:42:36.635,40,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.987764E-06 0.0003939965 -2.107419E-05,0 0.1649933 0,359.9498 0.0003804897 90.00013,0 0.2749786 -0.0001220703,359.9499 359.9942 -3.408454E-05,0 0.2749786 -0.0001220703,0.07153136 179.9943 90.00024,0 0.4009705 -0.0002441406,0.07152478 179.9938 3.04566E-05,0 0.4009857 -0.0002441406,0.07154544 179.9938 90.00021,0 0.4569855 -0.0003051758,0.07154199 179.9938 1.679498E-05
2024-07-24 14:42:36.638,41,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.987764E-06 0.0003939965 -2.107419E-05,0 0.1649933 0,359.9498 0.0003804897 90.00013,0 0.2749786 -0.0001220703,359.9499 359.9942 -3.408454E-05,0 0.2749786 -0.0001220703,0.07153136 179.9943 90.00024,0 0.4009705 -0.0002441406,0.07152478 179.9938 3.04566E-05,0 0.4009857 -0.0002441406,0.07154544 179.9938 90.00021,0 0.4569855 -0.0003051758,0.07154199 179.9938 1.679498E-05
2024-07-24 14:42:36.640,42,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.987764E-06 0.0003939965 -2.107419E-05,0 0.1649933 0,359.9498 0.0003804897 90.00013,0 0.2749786 -0.0001220703,359.9499 359.9942 -3.408454E-05,0 0.2749786 -0.0001220703,0.07153136 179.9943 90.00024,0 0.4009705 -0.0002441406,0.07152478 179.9938 3.04566E-05,0 0.4009857 -0.0002441406,0.07154544 179.9938 90.00021,0 0.4569855 -0.0003051758,0.07154199 179.9938 1.679498E-05
2024-07-24 14:42:36.643,43,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.987764E-06 0.0003939965 -2.107419E-05,0 0.1649933 0,359.9498 0.0003804897 90.00013,0 0.2749786 -0.0001220703,359.9499 359.9942 -3.408454E-05,0 0.2749786 -0.0001220703,0.07153136 179.9943 90.00024,0 0.4009705 -0.0002441406,0.07152478 179.9938 3.04566E-05,0 0.4009857 -0.0002441406,0.07154544 179.9938 90.00021,0 0.4569855 -0.0003051758,0.07154199 179.9938 1.679498E-05
2024-07-24 14:42:36.646,44,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.987764E-06 0.0003939965 -2.107419E-05,0 0.1649933 0,359.9498 0.0003804897 90.00013,0 0.2749786 -0.0001220703,359.9499 359.9942 -3.408454E-05,0 0.2749786 -0.0001220703,0.07153136 179.9943 90.00024,0 0.4009705 -0.0002441406,0.07152478 179.9938 3.04566E-05,0 0.4009857 -0.0002441406,0.07154544 179.9938 90.00021,0 0.4569855 -0.0003051758,0.07154199 179.9938 1.679498E-05
2024-07-24 14:42:36.649,45,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.994443E-06 0.000429875 -2.158445E-05,0 0.1649933 0,359.9463 0.0004162415 90.00013,0 0.2749786 -0.0001220703,359.9463 359.9938 -3.400087E-05,0 0.2749786 -0.0001220703,0.07662439 179.9939 90.00025,0 0.4009705 -0.0002441406,0.07661773 179.9934 2.05927E-05,0 0.4009857 -0.0002441406,0.07664012 179.9934 90.00023,0 0.4569855 -0.0003662109,0.07663595 179.9934 1.376068E-05
2024-07-24 14:42:36.652,46,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.994443E-06 0.000429875 -2.158445E-05,0 0.1649933 0,359.9463 0.0004162415 90.00013,0 0.2749786 -0.0001220703,359.9463 359.9938 -3.400087E-05,0 0.2749786 -0.0001220703,0.07662439 179.9939 90.00025,0 0.4009705 -0.0002441406,0.07661773 179.9934 2.05927E-05,0 0.4009857 -0.0002441406,0.07664012 179.9934 90.00023,0 0.4569855 -0.0003662109,0.07663595 179.9934 1.376068E-05
2024-07-24 14:42:36.654,47,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.994443E-06 0.000429875 -2.158445E-05,0 0.1649933 0,359.9463 0.0004162415 90.00013,0 0.2749786 -0.0001220703,359.9463 359.9938 -3.400087E-05,0 0.2749786 -0.0001220703,0.07662439 179.9939 90.00025,0 0.4009705 -0.0002441406,0.07661773 179.9934 2.05927E-05,0 0.4009857 -0.0002441406,0.07664012 179.9934 90.00023,0 0.4569855 -0.0003662109,0.07663595 179.9934 1.376068E-05
