[;2025-10-03 17:05:12.084994;['1.7115277', ' -1.4549395', ' -0.27560657', ' 0.16105165', ' 0.0008387858', ' 0.140737']
[;2025-10-03 17:05:12.208934;['1.7115277', ' -1.4549361', ' -0.27560595', ' 0.16105165', ' 0.0008387858', ' 0.140737']
[;2025-10-03 17:05:12.340864;['1.7473776', ' -1.4336182', ' -0.32136664', ' 0.18437713', ' -0.0006155843', ' 0.17631942']
[;2025-10-03 17:05:12.450970;['1.7473776', ' -1.4336149', ' -0.321366', ' 0.18437713', ' -0.0006155843', ' 0.17631942']
[;2025-10-03 17:05:12.572833;['1.7473776', ' -1.4336115', ' -0.3213654', ' 0.18437713', ' -0.0006155843', ' 0.17631942']
[;2025-10-03 17:05:12.704860;['1.7473776', ' -1.4336077', ' -0.32136467', ' 0.18437713', ' -0.0006155843', ' 0.17631942']
[;2025-10-03 17:05:12.824994;['1.782816', ' -1.4239752', ' -0.34227636', ' 0.19529153', ' -0.00050544855', ' 0.21134989']
[;2025-10-03 17:05:12.938370;['1.782816', ' -1.4239719', ' -0.34227574', ' 0.19529153', ' -0.00050544855', ' 0.21134989']
[;2025-10-03 17:05:13.057186;['1.782816', ' -1.4239686', ' -0.3422751', ' 0.19529153', ' -0.00050544855', ' 0.21134989']
[;2025-10-03 17:05:13.169790;['1.782816', ' -1.4239652', ' -0.3422745', ' 0.19529153', ' -0.00050544855', ' 0.21134989']
[;2025-10-03 17:05:13.301784;['1.8179479', ' -1.4241652', ' -0.34208864', ' 0.19526576', ' -1.9592675e-05', ' 0.24745013']
[;2025-10-03 17:05:13.440981;['1.8179479', ' -1.4241614', ' -0.34208792', ' 0.19526576', ' -1.9592675e-05', ' 0.24745013']
[;2025-10-03 17:05:13.553701;['1.8179479', ' -1.4241581', ' -0.3420873', ' 0.19526576', ' -1.9592675e-05', ' 0.24745013']
[;2025-10-03 17:05:13.697055;['1.8179479', ' -1.4241543', ' -0.34208658', ' 0.19526576', ' -1.9592675e-05', ' 0.24745013']
[;2025-10-03 17:05:13.824966;['1.8529177', ' -1.4333212', ' -0.32307643', ' 0.18603179', ' -0.0005776315', ' 0.2821052']
[;2025-10-03 17:05:13.939007;['1.8529177', ' -1.4333179', ' -0.3230758', ' 0.18603179', ' -0.0005776315', ' 0.2821052']
[;2025-10-03 17:05:14.072915;['1.8529177', ' -1.4333141', ' -0.3230751', ' 0.18603179', ' -0.0005776315', ' 0.2821052']
[;2025-10-03 17:05:14.209634;['1.8529177', ' -1.4333103', ' -0.32307437', ' 0.18603179', ' -0.0005776315', ' 0.2821052']
[;2025-10-03 17:05:14.316473;['1.7168361', ' -1.2625505', ' -0.68935144', ' 0.38153017', ' 0.0004158332', ' 0.14659603']
[;2025-10-03 17:05:14.438336;['1.7168361', ' -1.2625498', ' -0.6893511', ' 0.38153017', ' 0.0004158332', ' 0.14659603']
[;2025-10-03 17:05:14.569199;['1.7168361', ' -1.2625469', ' -0.6893501', ' 0.38153017', ' 0.0004158332', ' 0.14659603']
[;2025-10-03 17:05:14.708987;['1.7168361', ' -1.262544', ' -0.6893492', ' 0.38153017', ' 0.0004158332', ' 0.14659603']
[;2025-10-03 17:05:14.833175;['1.7540858', ' -1.2531592', ' -0.7132757', ' 0.39585504', ' -0.0013713833', ' 0.18283947']
[;2025-10-03 17:05:14.965107;['1.7540858', ' -1.2531569', ' -0.713275', ' 0.39585504', ' -0.0013713833', ' 0.18283947']
[;2025-10-03 17:05:15.097243;['1.7540858', ' -1.2531544', ' -0.7132742', ' 0.39585504', ' -0.0013713833', ' 0.18283947']
[;2025-10-03 17:05:15.219075;['1.7540858', ' -1.2531515', ' -0.7132732', ' 0.39585504', ' -0.0013713833', ' 0.18283947']
[;2025-10-03 17:05:15.336922;['1.7903775', ' -1.2489852', ' -0.72146446', ' 0.39866203', ' 0.0014403407', ' 0.21938331']
[;2025-10-03 17:05:15.467177;['1.7903775', ' -1.2489841', ' -0.72146386', ' 0.39866203', ' 0.0014403407', ' 0.21938331']
[;2025-10-03 17:05:15.585004;['1.7903775', ' -1.2489816', ' -0.721463', ' 0.39866203', ' 0.0014403407', ' 0.21938331']
[;2025-10-03 17:05:15.721722;['1.7903775', ' -1.2489787', ' -0.7214621', ' 0.39866203', ' 0.0014403407', ' 0.21938331']
[;2025-10-03 17:05:15.850563;['1.8270402', ' -1.248951', ' -0.72168344', ' 0.39875576', ' 0.0004382576', ' 0.25622514']
[;2025-10-03 17:05:15.992916;['1.8270402', ' -1.2489487', ' -0.7216825', ' 0.39875576', ' 0.0004382576', ' 0.25622514']
[;2025-10-03 17:05:16.113457;['1.8270402', ' -1.2489462', ' -0.72168165', ' 0.39875576', ' 0.0004382576', ' 0.25622514']
[;2025-10-03 17:05:16.219168;['1.8270402', ' -1.2489437', ' -0.7216808', ' 0.39875576', ' 0.0004382576', ' 0.25622514']
[;2025-10-03 17:05:16.345152;['1.8270402', ' -1.2489412', ' -0.72168', ' 0.39875576', ' 0.0004382576', ' 0.25622514']
[;2025-10-03 17:05:16.452054;['1.8631307', ' -1.2533214', ' -0.7146648', ' 0.39866912', ' 0.0006880238', ' 0.2924064']
[;2025-10-03 17:05:16.589472;['1.8631307', ' -1.2533185', ' -0.71466386', ' 0.39866912', ' 0.0006880238', ' 0.2924064']
[;2025-10-03 17:05:16.719586;['1.8631307', ' -1.2533157', ' -0.7146629', ' 0.39866912', ' 0.0006880238', ' 0.2924064']
[;2025-10-03 17:05:16.860830;['1.8631307', ' -1.2533128', ' -0.71466196', ' 0.39866912', ' 0.0006880238', ' 0.2924064']
[;2025-10-03 17:05:16.992815;['1.7223812', ' -1.1480894', ' -0.9414995', ' 0.5188531', ' 0.0010429064', ' 0.15229464']
[;2025-10-03 17:05:17.105848;['1.7223812', ' -1.1480869', ' -0.9414982', ' 0.5188531', ' 0.0010429064', ' 0.15229464']
[;2025-10-03 17:05:17.220033;['1.7223812', ' -1.1480844', ' -0.94149697', ' 0.5188531', ' 0.0010429064', ' 0.15229464']
[;2025-10-03 17:05:17.360981;['1.7223812', ' -1.1480815', ' -0.94149554', ' 0.5188531', ' 0.0010429064', ' 0.15229464']
[;2025-10-03 17:05:17.492972;['1.7610856', ' -1.1408519', ' -0.9602091', ' 0.5306061', ' -0.0007797414', ' 0.18987888']
[;2025-10-03 17:05:17.608964;['1.7610856', ' -1.1408494', ' -0.9602074', ' 0.5306061', ' -0.0007797414', ' 0.18987888']
[;2025-10-03 17:05:17.740855;['1.7610856', ' -1.1408465', ' -0.9602055', ' 0.5306061', ' -0.0007797414', ' 0.18987888']
[;2025-10-03 17:05:17.860932;['1.7610856', ' -1.140844', ' -0.9602038', ' 0.5306061', ' -0.0007797414', ' 0.18987888']
[;2025-10-03 17:05:17.977145;['1.7993612', ' -1.1372263', ' -0.9674898', ' 0.53335935', ' -0.0013105904', ' 0.22821453']
[;2025-10-03 17:05:18.085191;['1.7993612', ' -1.1372238', ' -0.9674881', ' 0.53335935', ' -0.0013105904', ' 0.22821453']
[;2025-10-03 17:05:18.228917;['1.7993612', ' -1.137221', ' -0.9674862', ' 0.53335935', ' -0.0013105904', ' 0.22821453']
[;2025-10-03 17:05:18.360895;['1.7993612', ' -1.1372181', ' -0.9674843', ' 0.53335935', ' -0.0013105904', ' 0.22821453']
[;2025-10-03 17:05:18.476860;['1.8371453', ' -1.137346', ' -0.9670973', ' 0.53276324', ' -0.00078944647', ' 0.26603383']
[;2025-10-03 17:05:18.602805;['1.8371453', ' -1.1373432', ' -0.9670954', ' 0.53276324', ' -0.00078944647', ' 0.26603383']
[;2025-10-03 17:05:18.745079;['1.8371453', ' -1.1373403', ' -0.96709347', ' 0.53276324', ' -0.00078944647', ' 0.26603383']
[;2025-10-03 17:05:18.865589;['1.8371453', ' -1.1373378', ' -0.9670918', ' 0.53276324', ' -0.00078944647', ' 0.26603383']
[;2025-10-03 17:05:18.972274;['1.8744649', ' -1.1410153', ' -0.96204454', ' 0.53435016', ' 0.00010783536', ' 0.3035026']
[;2025-10-03 17:05:19.108969;['1.8744649', ' -1.1410125', ' -0.9620429', ' 0.53435016', ' 0.00010783536', ' 0.3035026']
[;2025-10-03 17:05:19.219560;['1.8744649', ' -1.14101', ' -0.96204126', ' 0.53435016', ' 0.00010783536', ' 0.3035026']
[;2025-10-03 17:05:19.361099;['1.8744649', ' -1.1410072', ' -0.96203935', ' 0.53435016', ' 0.00010783536', ' 0.3035026']
[;2025-10-03 17:05:19.492975;['1.7286875', ' -1.0576558', ' -1.143312', ' 0.63051474', ' -2.0185025e-05', ' 0.15719938']
[;2025-10-03 17:05:19.618167;['1.7286875', ' -1.0576545', ' -1.143315', ' 0.63051474', ' -2.0185025e-05', ' 0.15719938']
[;2025-10-03 17:05:19.737609;['1.7286875', ' -1.057652', ' -1.1433183', ' 0.63051474', ' -2.0185025e-05', ' 0.15719938']
[;2025-10-03 17:05:19.877633;['1.7286875', ' -1.0576491', ' -1.1433221', ' 0.63051474', ' -2.0185025e-05', ' 0.15719938']
[;2025-10-03 17:05:19.986524;['1.7687786', ' -1.0515963', ' -1.1590046', ' 0.6401184', ' -0.00084564346', ' 0.19801304']
[;2025-10-03 17:05:20.120237;['1.7687786', ' -1.051595', ' -1.159008', ' 0.6401184', ' -0.00084564346', ' 0.19801304']
[;2025-10-03 17:05:20.261123;['1.7687786', ' -1.0515921', ' -1.1590118', ' 0.6401184', ' -0.00084564346', ' 0.19801304']
[;2025-10-03 17:05:20.370137;['1.7687786', ' -1.0515896', ' -1.1590152', ' 0.6401184', ' -0.00084564346', ' 0.19801304']
[;2025-10-03 17:05:20.509123;['1.8084304', ' -1.0483278', ' -1.1648811', ' 0.6412236', ' -0.0005221601', ' 0.23793961']
[;2025-10-03 17:05:20.629243;['1.8084304', ' -1.0483267', ' -1.1648835', ' 0.6412236', ' -0.0005221601', ' 0.23793961']
[;2025-10-03 17:05:20.742320;['1.8084304', ' -1.0483242', ' -1.1648868', ' 0.6412236', ' -0.0005221601', ' 0.23793961']
[;2025-10-03 17:05:20.881561;['1.8084304', ' -1.0483214', ' -1.1648906', ' 0.6412236', ' -0.0005221601', ' 0.23793961']
[;2025-10-03 17:05:20.993347;['1.8084304', ' -1.0483189', ' -1.164894', ' 0.6412236', ' -0.0005221601', ' 0.23793961']
[;2025-10-03 17:05:21.103550;['1.8477073', ' -1.0484755', ' -1.1647449', ' 0.64116806', ' -3.8254526e-05', ' 0.27725586']
[;2025-10-03 17:05:21.224911;['1.8477073', ' -1.048473', ' -1.1647482', ' 0.64116806', ' -3.8254526e-05', ' 0.27725586']
[;2025-10-03 17:05:21.345125;['1.8477073', ' -1.0484705', ' -1.1647515', ' 0.64116806', ' -3.8254526e-05', ' 0.27725586']
[;2025-10-03 17:05:21.476926;['1.8477073', ' -1.0484676', ' -1.1647553', ' 0.64116806', ' -3.8254526e-05', ' 0.27725586']
