0,['-4.533579e-12', '1.6633738e-08', '1.2510238e-08', '-1.38312e-13', '3.9489348e-17', '3.3014678e-19'](-0.004936712017667256, 0.2738224753241505, 0.09467755771659962)
110,['1.7686841', '-0.94323206', '-1.1418116', '0.51287675', '-0.00031339182', '0.19776581'](0.015034128518875778, 0.2537871834015424, 0.09470759488048766)
111,['1.7686841', '-0.943232', '-1.1418121', '0.51287675', '-0.00031339182', '0.19776581'](0.015034152219947732, 0.25378716097686727, 0.09470753530592202)
112,['1.7686841', '-0.94323194', '-1.1418126', '0.51287675', '-0.00031339182', '0.19776581'](0.015034173648481758, 0.25378705317119665, 0.09470743106552203)
113,['1.8082433', '-0.9398659', '-1.1498739', '0.5183725', '0.00051330525', '0.2373218'](0.015034175511126907, 0.2537869935665519, 0.09470746086784441)
114,['1.8082433', '-0.9398657', '-1.1498735', '0.5183725', '0.00051330525', '0.2373218'](0.00497598723913003, 0.25381841254795323, 0.09467451453192961)
115,['1.8082433', '-0.93986565', '-1.1498737', '0.5183725', '0.00051330525', '0.2373218'](0.004975949149160674, 0.25381847487040254, 0.09467460392272795)
116,['1.8082433', '-0.9398656', '-1.1498742', '0.5183725', '0.00051330525', '0.2373218'](0.004975957880567338, 0.25381845756313925, 0.09467455923117277)
117,['1.8082433', '-0.9398655', '-1.1498747', '0.5183725', '0.00051330525', '0.2373218'](0.004975972199498442, 0.25381834080129445, 0.09467448474116501)
118,['1.8082433', '-0.93986547', '-1.1498752', '0.5183725', '0.00051330525', '0.2373218'](0.004976005384209743, 0.2538183103282889, 0.09467441025077503)
119,['1.8082433', '-0.9398654', '-1.1498756', '0.5183725', '0.00051330525', '0.2373218'](0.00497600323706257, 0.2538182915307501, 0.09467449965039008)
120,['1.8475804', '-0.93992627', '-1.149471', '0.5177356', '0.00067051034', '0.27697465'](0.004976048400190465, 0.25381814760957827, 0.09467435066986914)
121,['1.8475804', '-0.93992734', '-1.1494719', '0.5177356', '0.00067051034', '0.27697465'](-0.005027058786633196, 0.25380119937542905, 0.09467612872450047)
122,['1.8475804', '-0.9399274', '-1.149472', '0.5177356', '0.00067051034', '0.27697465'](-0.005027000042502432, 0.2538009438177569, 0.0946757265140089)
123,['1.8475804', '-0.93992734', '-1.1494725', '0.5177356', '0.00067051034', '0.27697465'](-0.005027000042502432, 0.2538009438177569, 0.0946757265140089)
124,['1.8475804', '-0.9399273', '-1.149473', '0.5177356', '0.00067051034', '0.27697465'](-0.005026974329604664, 0.253800858593763, 0.09467566693197074)
125,['1.8475804', '-0.9399272', '-1.1494734', '0.5177356', '0.00067051034', '0.27697465'](-0.005026979115734599, 0.25380082841463153, 0.09467569673627473)
126,['1.8475804', '-0.93992716', '-1.1494739', '0.5177356', '0.00067051034', '0.27697465'](-0.005026933928474888, 0.25380071952959826, 0.09467557757127362)
127,['1.8865935', '-0.943326', '-1.1448746', '0.51887006', '0.000116583375', '0.3149248'](-0.0050269171281203395, 0.2538006716500366, 0.09467550308120477)
128,['1.8865935', '-0.9433129', '-1.1448648', '0.51887006', '0.00011658349', '0.3149248'](-0.015034206444356544, 0.25393919902734674, 0.09464306415647152)
129,['1.8865935', '-0.94331205', '-1.1448641', '0.51887006', '0.00011658349', '0.3149248'](-0.015035050564961884, 0.2539418564021549, 0.09464781981217271)
130,['1.8865935', '-0.94331175', '-1.1448638', '0.51887006', '0.00011658349', '0.3149248'](-0.015035137494505002, 0.25394203450080216, 0.09464825212975941)
131,['1.8865935', '-0.94331163', '-1.1448643', '0.51887006', '0.00011658349', '0.3149248'](-0.015035181607349004, 0.25394209116403293, 0.09464832667819327)
132,['1.8865935', '-0.9433116', '-1.1448648', '0.51887006', '0.00011658349', '0.3149248'](-0.015035126318634106, 0.2539420046984798, 0.0946482819320818)
133,['1.8865935', '-0.9433115', '-1.1448653', '0.51887006', '0.00011658349', '0.3149248'](-0.01503511368359376, 0.253941974588447, 0.094648207382315)
134,['1.7354475', '-0.8651988', '-1.3032612', '0.59851193', '-0.0006442728', '0.16483225'](-0.015035111197642089, 0.2539418907928838, 0.09464814774344155)
135,['1.7354475', '-0.86527014', '-1.3033149', '0.59851193', '-0.00064427266', '0.16483225'](0.025023835394661055, 0.24397378338127734, 0.09483912992578353)
136,['1.7354475', '-0.8652748', '-1.3033184', '0.59851193', '-0.00064427266', '0.16483225'](0.025026370002663174, 0.24395846921338696, 0.09481400019654937)
137,['1.7354475', '-0.86527485', '-1.3033189', '0.59851193', '-0.00064427266', '0.16483225'](0.025026534520880467, 0.2439575074646143, 0.09481239049215331)
138,['1.7354475', '-0.8652747', '-1.303319', '0.59851193', '-0.00064427266', '0.16483225'](0.02502655890643832, 0.24395744848344425, 0.09481236068215622)
139,['1.7354475', '-0.86527467', '-1.3033193', '0.59851193', '-0.00064427266', '0.16483225'](0.025026552502084253, 0.2439574167840488, 0.09481227125099798)
140,['1.7354475', '-0.86527467', '-1.3033197', '0.59851193', '-0.00064427266', '0.16483225'](0.025026552502084253, 0.2439574167840488, 0.09481227125099798)
141,['1.7770807', '-0.85900354', '-1.3165374', '0.6042791', '-0.0006792652', '0.20704238'](0.0250265795216704, 0.24395732583610746, 0.09481224143965451)
142,['1.7770807', '-0.85901535', '-1.3165463', '0.6042791', '-0.0006792652', '0.20704238'](0.015046878114121462, 0.24385066733956937, 0.09470153265011759)
143,['1.7770807', '-0.85901606', '-1.3165468', '0.6042791', '-0.0006792652', '0.20704238'](0.01504742972213945, 0.243848187839479, 0.0946974950708025)
144,['1.7770807', '-0.8590158', '-1.3165467', '0.6042791', '-0.0006792652', '0.20704238'](0.015047420953393545, 0.2438480826594515, 0.09469725668021664)
145,['1.7770807', '-0.85901576', '-1.316547', '0.6042791', '-0.0006792652', '0.20704238'](0.015047420953393545, 0.2438480826594515, 0.09469725668021664)
146,['1.7770807', '-0.85901576', '-1.3165474', '0.6042791', '-0.0006792652', '0.20704238'](0.015047428445670655, 0.2438480348358082, 0.09469731628161264)
147,['1.7770807', '-0.85901576', '-1.3165478', '0.6042791', '-0.0006792652', '0.20704238'](0.015047468836712747, 0.2438479662666654, 0.09469722689579016)
148,['1.8182852', '-0.8558889', '-1.3230401', '0.60748744', '0.00019172543', '0.24765317'](0.015047480456548601, 0.2438478999597147, 0.09469716730586149)
149,['1.8182852', '-0.85589224', '-1.323043', '0.60748744', '0.00019172543', '0.24765317'](0.0049975391772955876, 0.2438228080968594, 0.09468120058199606)
150,['1.8182852', '-0.85589224', '-1.3230432', '0.60748744', '0.00019172543', '0.24765317'](0.004997744304889788, 0.24382199882893116, 0.09467993425508782)
151,['1.8182852', '-0.85589206', '-1.3230435', '0.60748744', '0.00019172543', '0.24765317'](0.004997760553633302, 0.24382193645603797, 0.09467984487039513)
152,['1.8182852', '-0.855892', '-1.3230438', '0.60748744', '0.00019172543', '0.24765317'](0.004997760553633302, 0.24382193645603797, 0.09467984487039513)
153,['1.8182852', '-0.855892', '-1.3230442', '0.60748744', '0.00019172543', '0.24765317'](0.0049977670679956865, 0.24382193532619292, 0.09467990446550517)
154,['1.8182852', '-0.855892', '-1.3230445', '0.60748744', '0.00019172543', '0.24765317'](0.004997765133160435, 0.24382189820611935, 0.09467987467819505)
155,['1.8591499', '-0.8559408', '-1.322621', '0.60675186', '0.0008091042', '0.28857738'](0.004997776670284677, 0.24382182621831697, 0.09467978528954689)
156,['1.8591499', '-0.85594195', '-1.322622', '0.60675186', '0.0008091042', '0.28857738'](-0.005032258984009819, 0.24378785811373302, 0.09467888621846035)
157,['1.8591499', '-0.855942', '-1.322622', '0.60675186', '0.0008091042', '0.28857738'](-0.005032149501765512, 0.243787573794963, 0.09467839464243877)
158,['1.8591499', '-0.8559419', '-1.3226223', '0.60675186', '0.0008091042', '0.28857738'](-0.005032149501765512, 0.243787573794963, 0.09467839464243877)
159,['1.8591499', '-0.85594183', '-1.3226227', '0.60675186', '0.0008091042', '0.28857738'](-0.005032133150925213, 0.24378750747378286, 0.09467833505901464)
160,['1.8591499', '-0.85594183', '-1.322623', '0.60675186', '0.0008091042', '0.28857738'](-0.005032133151493865, 0.24378750757193288, 0.09467836486121894)
161,['1.8591499', '-0.85594183', '-1.3226234', '0.60675186', '0.0008091042', '0.28857738'](-0.005032134339036285, 0.24378744428771085, 0.09467832017843734)
